JobId,BenefitId,BenefitValue
1898909,1,Tet Bonus
1898909,3,12 paid leave per year
1898909,4,team building 1 time/year
1898903,1,Tet Bonus
1898903,3,12 paid leave per year
1898903,4,team building 1 time/year
1899109,1,"Đa dạng hoạt động du lịch, team-building hằng năm"
1899109,2,Mức lương cạnh tranh
1899109,4,Lộ trình thăng tiến rộng mở dành riêng cho bạn
1898350,1,Chế độ lương thưởng cạnh tranh
1898350,4,"Đào tạo chuyên môn, kỹ năng từ các chuyên gia trong lĩnh vực chuyên môn và kinh nghiệm đầu ngành"
1898350,5,Lộ trình thăng tiến rõ ràng. CBNV được tạo điều kiện phát triển thế mạnh cá nhân
1884204,1,Annual Performance Bonus
1884204,2,Premium Healthcare Insurance
1884204,4,Professional training courses
1884204,15,Working environment
1900810,1,Thưởng lương tháng 13. Tùy theo tình hình hoạt động của công ty sẽ có thêm các phần thưởng nhỏ
1900810,2,Hưởng toàn bộ chế độ bảo hiểm theo luật Lao động
1900810,5,Đối với những nhân viên xuất sắc sẽ được đề cử vào các vị trí chủ chốt của công ty
1899083,1,"Lương tháng 13, Lương KPI
Thưởng nóng theo sự vụ; Thưởng các dịp lễ tết trong năm."
1899083,2,"Được hưởng đầy đủ các chế độ theo Luật Lao động Việt Nam: BHXH, BHYT, trợ cấp, chế độ nghỉ phép năm, lễ tết, thai sản…"
1899083,9,Du lịch teambuilding định kỳ
1899083,11,"Có Xe cty phục vụ công tác, làm việc."
1899083,15,"Được làm việc trong môi trường trẻ, năng động và chuyên nghiệp, có cơ hội thăng tiến."
1897655,1,Lương thưởng theo kết quả hoạt động kinh doanh
1897655,4,"Được đào tạo nghiệp vụ, kiến thức công việc liên quan"
1897655,9,Cơ hội du lịch hằng năm
1897666,1,Lương thưởng theo kết quả hoạt động kinh doanh
1897666,4,"Được đào tạo nghiệp vụ, kiến thức công việc liên quan"
1897666,9,Cơ hội du lịch hằng năm
1897671,1,Lương thưởng theo kết quả hoạt động kinh doanh
1897671,4,"Được đào tạo nghiệp vụ, kiến thức công việc liên quan"
1897671,9,Cơ hội du lịch hằng năm
1897705,1,"Attractive and competitive salary package (negotiable upon the interview)
13th month salary and full salary in probation"
1897705,2,"Social insurance contribution based on full gross base salary
Premium healthcare & Accident Insurance"
1897705,3,12 days of annual leave & ADDITIONAL 8 DAYS OF COMPANY HOLIDAYS
1897705,4,Training opportunities abroad & global working environment
1897705,10,Lots of team building activities & internal events
1897705,15,"HYBRID WORKING: Employees can split time between working in the office and working from home
5 working days/week: Mon – Fri with FLEXIBLE WORKING TIME
Support for lunch and other ALLOWANCES (Coding Expert, Technical leader, phone...)"
1898888,1,Attractive salary with Top-up Commissions
1898888,2,Private medical insurance
1898888,3,13 days of paid leave and 03 days of sick leave per year
1898888,4,Training opportunities
1898888,7,Work laptop provided
1898888,15,"Negotiable attractive basic salary up with Top-up Commissions
Dynamic and fast-growing company
International and professional working environment
Christmas Lunch and Kick-off Event annually"
1881891,15,Competitive Compensation and Benefits Package
1896428,1,Lương tháng 13
1896428,2,Công ty tham gia đầy đủ về chế độ BHXH; BHYT; BHTN
1896428,4,Môi trường làm việc chuyên nghiệp
1896484,1,"Bonus on independent day, labor's day &amp; Tet holiday"
1896484,2,Health insurance
1896484,3,"Off 2 Saturday &amp; 4 Sunday per month
3 days off for summer holiday"
1896484,4,Performance bonus based on each year
1896484,9,Teambuilding &amp; other company actitives
1896484,10,"Many attractive activities: Family’s Day, Women's day, Year End Party"
1896484,15,"Attractive salary
Annually Increase Salary"
1877031,1,Lương cứng từ 10 -30M + hoa hồng theo hợp đồng
1877031,4,"Cơ hội thăng tiến và phát triển sự nghiệp không giới hạn
Được đào tạo bài bản và nâng cao kỹ năng chuyên môn"
1877031,10,"Môi trường làm việc chuyên nghiệp, năng động, khuyến khích sự sáng tạo và đổi mới
Chính sách phúc lợi hấp dẫn, chế độ đãi ngộ cạnh tranh"
1885783,1,KPI bonus and 13th Salary bonus
1885783,7,Laptop
1885783,11,Shuttle bus
1899334,1,Competitive salary + Allowances + Bonuses
1899334,2,100% Social insurance (from probation time) + Health insurance + Paid sick days
1899334,7,Full equipment
1899001,1,"-	Accident Insurance, Health Insurance and Social Security fully covered in accordance with Vietnam"
1899001,4,"-	Language Allowances for TOEIC, TOPIK, IELTS in the range of 1,000,000 to 5,000,000 VND for each language"
1899001,15,"-	Working time:  8.00 AM ~ 5.00 PM, from Monday to Friday (Saturday and Sunday off);"
1899042,1,"Lương upto 15 triệu, điều chỉnh lương 1 lần/năm + Thưởng tháng lương thứ 13"
1899042,2,"Được đóng bảo hiểm 24/24 của Công ty bảo hiểm hàng đầu Nhật Bản tại Việt Nam. Trợ cấp nhà ở, chuyên cần, review lương hàng năm"
1899042,11,Có xe đưa đón ứng viên từ nội thành Hà Nội tới công ty
1884588,1,Hưởng thu nhập cạnh tranh
1884588,2,"Được đào tạo, phát triển liên tục trong môi trường làm việc năng động, sáng tạo, chuyên nghiệp"
1884588,10,"Môi trường làm việc chuyên nghiệp, năng động"
1885518,1,Attractive salary and bonus
1885518,7,Laptop provision
1885518,9,Regular team building and social events
1899040,1,Competitive salary with performance-based incentives.
1899040,3,"Work from Mon-Fri, off all Saturday &amp; Sunday."
1899040,4,Opportunities for professional development and training.
1899040,15,"Probation entitled 100% salary, Insurance contribution from probation, SHUI salary &gt; 90% total salary."
1898991,1,Mức lương: Lương cứng từ 15-18mil + Hot bonus + Commission theo dự án
1898991,2,Đãi ngộ theo cơ chế chung của công ty.
1898991,10,"Môi trường làm việc chuyên nghiệp, phát huy tối đa năng lực của bản thân, cơ hội thăng tiến cao"
1899073,1,13th month salary and performance bonus
1899073,2,Premium healthcare for employee and families
1899073,3,15 days annual leave
1884592,1,","
1897657,2,Bảo hiểm sức khỏe hàng năm
1897657,3,"Giờ làm việc linh hoạt, Được ứng lương linh hoạt tới 80% lương hàng tháng."
1897657,4,"Tham gia các câu lạc bộ phát triển kỹ năng như thể thao, yoga, fitness..."
1897657,10,"Tham gia các hoạt động Team building và Happy hour định kỳ, du lịch và sự kiện thường niên với quy mô công ty và tập đoàn."
1902299,2,"24/7 healthcare insurance
Annual health check"
1902299,3,12 paid leave/ year
1902299,7,"Provide laptops/ Macbook
Provide testing devices"
1902299,9,Annual company trip from 3-4 days
1902299,10,Badminton and football club
1902299,15,Birthday gifts
1907173,1,13th month salary
1907173,3,Annual leave as Labor law
1907173,7,Provide laptop for working
1891977,1,"Lương Tháng 13, Thưởng KPI"
1891977,11,Xe đưa đón từ nhiều điểm
1891977,15,"- Mức lương cạnh tranh, thử việc 100% lương
- Được đào tạo trong môi trường chuyên nghiệp
- Ăn sáng, ăn trưa + ăn ca miễn phí.
- Làm việc từ thứ 2 ~ Thứ 6 
- Tăng lương hàng năm, du lịch  teambuilding, quà lễ tết, và nhiều chế độ khác"
1892350,1,"Lương Tháng 13, Thưởng KPI"
1892350,11,Xe đưa đón từ nhiều điểm
1892350,15,"- Mức lương cạnh tranh, thử việc 100% lương
- Được đào tạo trong môi trường chuyên nghiệp
- Ăn sáng, ăn trưa + ăn ca miễn phí.
- Làm việc từ thứ 2 ~ Thứ 6 
- Tăng lương hàng năm, du lịch  teambuilding, quà lễ tết, và nhiều chế độ khác"
1890837,1,- Competitive incomes/salary (400-1000USD) & 13rd salary payment
1890837,4,- Working performance bonus
1890837,9,"- Supplied Laptop to work, free lunch, bus to pick up employees from Hai Phong and Ha Noi."
1906533,2,Health Insurance Packages for Employees and Direct Family Members
1906533,4,Designed Personal Training and Career Development
1906533,7,Unique Employee Total Rewards
1907165,2,"Tham gia bảo hiểm y tế
Bảo hiểm sức khỏe Bảo Việt"
1907165,4,Tham gia các khóa đào tạo kiến thức và kỹ năng tại công ty
1907165,7,Trang bị máy tính xách tay
1907165,9,Có cơ hội đi du lịch hàng năm
1907165,12,Ăn tại canteen công ty
1907171,1,"Chế độ lương, thưởng, hoa hồng theo chính sách của công ty(trao đổi cụ thể khi phỏng vấn)."
1907171,2,"Được đóng BHXH, BHYT, BHTN."
1907171,4,"Được đào tạo, nâng cao nghiệp vụ thường xuyên."
1907171,9,2-3 lần trong năm (trong và ngoài nước)
1907171,15,Được hưởng các chính sách phúc lợi theo quy định nhà nước.
1907182,15,The salary and benefits are competitive and commensurate with qualifications and experience.
1890196,1,"Lương+ Phụ cấp (trang điểm (dành cho CBNV nữ), ăn trưa, xăng xe) & thưởng hiệu quả hàng năm"
1890196,2,"BAC A BANKER được nhận gói BH cao cấp cho cá nhân/người thân ngoài chế độ BHXH, BHYT theo quy định"
1890196,15,"Môi trường chuyên nghiệp, năng động và nhân văn với chương trình đào tạo chuyên sâu hàng năm"
1907177,1,"Lương tháng 13, lương thưởng theo kinh nghiệm và năng lực của ứng viên (có thể đàm phán).
Thưởng dự án."
1907177,3,"Chế độ nghỉ phép năm, bảo hiểm xã hội và bảo hiểm y tế theo quy định của pháp luật."
