JobId,GroupJobFunctionId
1898909,2
1898903,13
1899109,10
1898350,10
1884204,5
1900810,9
1899083,4
1897655,12
1897666,10
1897671,10
1897705,5
1898888,21
1881891,21
1896428,13
1896484,13
1877031,21
1885783,9
1899334,21
1899001,27
1899042,9
1884588,2
1885518,2
1899040,9
1898991,17
1899073,27
1884592,9
1897657,2
1902299,5
1907173,27
1891977,9
1892350,2
1890837,5
1906533,27
1907165,13
1907171,21
1907182,17
1890196,2
1907177,5
1907176,4
1907153,22
1907163,5
1891742,17
1907167,9
1905556,6
1907152,6
1907159,10
1907057,13
1907059,27
1907121,5
1906519,21
1902320,27
1896449,23
1899068,16
1907139,27
1907134,21
1879730,5
1898162,12
1900736,12
1898266,16
1888466,7
1888468,26
1899671,10
1904145,10
1904252,27
1901891,10
1906222,21
1906277,10
1906291,2
1906282,10
1906285,2
1906289,10
1904686,10
1904634,10
1904691,10
1904682,10
1904622,10
1904639,10
1904651,10
1904660,10
1904670,10
1904674,10
1904678,10
1904022,9
1904032,27
1904129,21
1903037,5
1884929,21
1889094,9
1900235,4
1900749,27
1903696,30
1902277,27
1902282,27
1902169,2
1902224,20
1902264,27
1901894,10
1901899,10
1901902,10
1901895,6
1901901,10
1901903,10
1901892,10
1901896,10
1901900,10
1896627,21
1902194,9
1897437,9
1896974,17
1897068,9
1896996,6
1884477,9
1885066,17
1894452,4
1896365,9
1885703,1
1885405,19
1897649,1
1899011,21
1899012,13
1898999,17
1899036,21
1898916,13
1898980,16
1898862,9
1883931,17
1898955,21
1899064,27
1885759,13
1905752,30
1905783,21
1892626,21
1907129,17
1907118,27
1907115,10
1907094,22
1907093,2
1907042,22
1906522,17
1907084,22
1892148,5
1907078,13
1907080,13
1907088,22
1889419,21
1903918,9
1898799,9
1898813,10
1907075,2
1907062,21
1890915,13
1907049,4
1907033,21
1907024,7
1907076,4
1907020,9
1906989,10
1896330,4
1896335,27
1895583,13
1883027,27
1904047,21
1903452,21
1904026,12
1904039,9
1898070,21
1898109,2
1898137,4
1898984,17
1885805,9
1898884,20
1870083,13
1898944,5
1898548,22
1898963,13
1898839,6
1898843,21
1898889,21
1898895,5
1898822,17
1898561,21
1900624,10
1900623,10
1900683,5
1900697,9
1900737,2
1900694,1
1900724,27
1900727,4
1898205,5
1902907,14
1889920,21
1904560,5
1902179,21
1889076,23
1887731,9
1902132,10
1906186,5
1906192,27
1906221,9
1902184,10
1902202,4
1902186,10
1902182,16
1902188,2
1902164,5
1904298,6
1904530,5
1904565,17
1904568,5
1904571,5
1904580,5
1904584,5
1904588,26
1904589,5
1904597,21
1887303,12
1902142,2
1907063,8
1891874,5
1891788,2
1891937,5
1907044,4
1907035,4
1907015,21
1892533,1
1892226,2
1907050,4
1892359,9
1907046,22
1907025,9
1892707,9
1892705,27
1892701,9
1892520,9
1907000,13
1907040,22
1906976,9
1906978,13
1907038,9
1907028,22
1907016,2
1907031,15
1906980,16
1906991,27
1907029,16
1906977,21
1905631,5
1906993,2
1906960,4
1906961,4
1906982,9
1892317,27
1892323,27
1907012,10
1907010,10
1907002,2
1906995,27
1899316,21
1899362,2
1881562,1
1887697,21
1906045,23
1906107,12
1906108,21
1906113,5
1906152,12
1906156,20
1906188,28
1899487,5
1889840,27
1904232,1
1906784,27
1888818,1
1898540,2
1889013,9
1904011,10
1903975,2
1904481,21
1904485,2
1900663,14
1905608,13
1902805,10
1905615,5
1899486,5
1900073,21
1900018,7
1882218,27
1883705,27
1898050,10
1898051,10
1898075,9
1898134,4
1898833,10
1883794,5
1898830,20
1898878,10
1897764,21
1898049,27
1896788,17
1896238,1
1896200,1
1896174,16
1896175,6
1895605,27
1895611,21
1895608,21
1898459,21
1898820,21
1884335,2
1898857,21
1898227,27
1898827,9
1898907,17
1906510,12
1892248,27
1906949,17
1891996,2
1906958,28
1891780,21
1906957,27
1906973,26
1906940,5
1906942,9
1906939,9
1906969,12
1906966,20
1906950,20
1902133,2
1906956,9
1904231,6
1904331,17
1904371,14
1891912,27
1905979,20
1906063,27
1903730,2
1904648,20
1904993,9
1904326,9
1902113,20
1905653,27
1906495,2
1898823,21
1898052,5
1897475,10
1898048,5
1895764,21
1899258,27
1899274,19
1902418,6
1902119,4
1906947,1
1906948,9
1897142,7
1906943,23
1906933,27
1901113,28
1901534,5
1903893,4
1903689,22
1906891,1
1902032,23
1898807,27
1896795,17
1903661,10
1903679,21
1902993,13
1903634,2
1903656,10
1902988,3
1903672,29
1884382,21
1903327,10
1903178,13
1903008,5
1900334,16
1899765,20
1898027,5
1896171,9
1881976,27
1881988,27
1881995,27
1889896,5
1904607,13
1905561,27
1905971,5
1902029,17
1905480,9
1886137,21
1899213,9
1898161,2
1882163,9
1882167,5
1882168,5
1882169,5
1897991,6
1882166,5
1899433,9
1903556,5
1906882,13
1899345,5
1900722,5
1900723,5
1886118,17
1886127,17
1906709,21
1906711,10
1906721,6
1905935,4
1905965,2
1906061,4
1906066,10
1906073,21
1890567,2
1906046,10
1903564,28
1903566,17
1903562,28
1903473,9
1903462,21
1886085,23
1904453,9
1882721,21
1889557,9
1899161,13
1886140,2
1898613,17
1900552,24
1900561,23
1906652,20
1905525,13
1897363,5
1897427,17
1897438,5
1897433,5
1897964,2
1898016,26
1897308,21
1897441,5
1897950,4
1886112,21
1896044,10
1895926,10
1896129,9
1896010,23
1882159,9
1895890,10
1896140,9
1896041,21
1896048,21
1896157,9
1899431,17
1899404,2
1899432,20
1897640,16
1906079,9
1900855,12
1900856,12
1900853,10
1904387,2
1904393,22
1904392,2
1905983,27
1905984,10
1905992,10
1905994,4
1906015,10
1904859,5
1888787,16
1884153,4
1900484,10
1900482,9
1900508,4
1900488,21
1902967,4
1905481,12
1903328,17
1903360,4
1903211,5
1903221,5
1905470,10
1905479,12
1905476,12
1889407,5
1889403,5
1903312,12
1903318,10
1898812,5
1900234,21
1905459,10
1888236,21
1903372,23
1903332,10
1905465,12
1903311,7
1899910,7
1901573,13
1906692,6
1881757,9
1897356,21
1895948,13
1828357,21
1896071,27
1896646,5
1881297,1
1897910,7
1895651,2
1895670,17
1881735,2
1881379,23
1899070,9
1906612,2
1900093,12
1904224,21
1904225,4
1904292,17
1904267,27
1904254,27
1904226,21
1905894,28
1903213,21
1899812,1
1900520,2
1900435,9
1903806,5
1901715,5
1903245,8
1903256,21
1903252,4
1903304,14
1899874,9
1900317,23
1906488,5
1905703,22
1897860,18
1897857,5
1898471,1
1896641,5
1896587,5
1896632,5
1895795,17
1893702,2
1895615,10
1895616,10
1895932,21
1895943,29
1895936,10
1906876,2
1904229,9
1904238,6
1734980,20
1904239,5
1887966,26
1904354,13
1905870,7
1905876,4
1904745,12
1904731,5
1902386,7
1901478,21
1902377,7
1901492,9
1900343,21
1900247,24
1904021,27
1902811,4
1904439,12
1903769,6
1902877,27
1889962,22
1903158,9
1903113,21
1903174,21
1903180,27
1903083,9
1903067,27
1903078,27
1903081,5
1903368,10
1902350,5
1902349,6
1899104,9
1897064,10
1897059,10
1897069,10
1897073,10
1897062,10
1897074,10
1885382,21
1897763,5
1895886,27
1897823,22
1878452,27
1878455,22
1895713,6
1889274,12
1897645,13
1897266,21
1895665,21
1895683,27
1895558,27
1897762,20
1900252,10
1900278,7
1882342,27
1895791,13
1881091,6
1904144,22
1904106,9
1905143,19
1905813,7
1903051,21
1904198,21
1897714,17
1905751,9
1897432,2
1901297,9
1904147,24
1897648,21
1897638,12
1899660,5
1897673,27
1897710,13
1885674,21
1902997,17
1902902,10
1887191,23
1887232,5
1905730,17
1905753,5
1898730,4
1898771,7
1898774,4
1898723,27
1900240,21
1879634,9
1895634,2
1882277,12
1904060,21
1904068,21
1897552,13
1898028,5
1897584,10
1902426,10
1900050,17
1900134,21
1905683,9
1905049,21
1902783,17
1902837,17
1888266,9
1902808,7
1900063,7
1900068,4
1901283,26
1900071,4
1897534,21
1898863,5
1898303,5
1896210,12
1895581,13
1905589,21
1905597,2
1905592,17
1889773,24
1903133,9
1888535,4
1883840,21
1876586,9
1895452,23
1896170,27
1896168,6
1879558,17
1903717,21
1905548,2
1906857,12
1897462,23
1897463,21
1906853,11
1906851,11
1901904,23
1888971,15
1888972,21
1899567,9
1902030,17
1898663,2
1895014,20
1879218,12
1902636,21
1901490,10
1901825,10
1901841,10
1901816,10
1902625,23
1901776,1
1901794,12
1901808,10
1901833,10
1901850,17
1901802,10
1901813,10
1901872,10
1901866,10
1902610,10
1902632,21
1899925,22
1899929,21
1899935,9
1905205,5
1898777,12
1897292,27
1897297,17
1895235,13
1895334,20
1899893,13
