JobId,JobFunctionId
1898909,10
1898903,79
1899109,59
1898350,61
1884204,30
1900810,58
1899083,20
1897655,76
1897666,63
1897671,59
1897705,35
1898888,129
1881891,129
1896428,82
1896484,80
1877031,129
1885783,54
1899334,129
1899001,154
1899042,56
1884588,7
1885518,8
1899040,53
1898991,107
1899073,153
1884592,53
1897657,13
1902299,36
1907173,154
1891977,53
1892350,8
1890837,36
1906533,153
1907165,82
1907171,129
1907182,110
1890196,12
1907177,36
1907176,19
1907153,133
1907163,34
1891742,107
1907167,53
1905556,40
1907152,39
1907159,61
1907057,80
1907059,153
1907121,27
1906519,130
1902320,154
1896449,141
1899068,99
1907139,153
1907134,130
1879730,34
1898162,73
1900736,72
1898266,93
1888466,42
1888468,149
1899671,59
1904145,62
1904252,155
1901891,60
1906222,129
1906277,59
1906291,15
1906282,59
1906285,7
1906289,60
1904686,61
1904634,61
1904691,61
1904682,61
1904622,61
1904639,61
1904651,61
1904660,61
1904670,61
1904674,61
1904678,61
1904022,53
1904032,153
1904129,131
1903037,36
1884929,129
1889094,53
1900235,18
1900749,153
1903696,159
1902277,154
1902282,151
1902169,8
1902224,126
1902264,153
1901894,61
1901899,60
1901902,60
1901895,39
1901901,60
1901903,61
1901892,60
1901896,60
1901900,60
1896627,130
1902194,56
1897437,56
1896974,108
1897068,56
1896996,39
1884477,56
1885066,109
1894452,21
1896365,50
1885703,5
1885405,118
1897649,3
1899011,129
1899012,81
1898999,111
1899036,130
1898916,81
1898980,98
1898862,50
1883931,108
1898955,130
1899064,150
1885759,79
1905752,159
1905783,129
1892626,129
1907129,105
1907118,154
1907115,60
1907094,134
1907093,13
1907042,132
1906522,108
1907084,134
1892148,34
1907078,81
1907080,81
1907088,132
1889419,129
1903918,56
1898799,56
1898813,60
1907075,13
1907062,130
1890915,79
1907049,22
1907033,129
1907024,44
1907076,22
1907020,53
1906989,60
1896330,21
1896335,154
1895583,79
1883027,154
1904047,129
1903452,129
1904026,73
1904039,56
1898070,129
1898109,6
1898137,18
1898984,108
1885805,53
1898884,122
1870083,79
1898944,36
1898548,134
1898963,78
1898839,39
1898843,129
1898889,129
1898895,32
1898822,103
1898561,129
1900624,59
1900623,61
1900683,36
1900697,56
1900737,16
1900694,5
1900724,155
1900727,20
1898205,30
1902907,83
1889920,130
1904560,28
1902179,129
1889076,139
1887731,53
1902132,63
1906186,30
1906192,155
1906221,53
1902184,59
1902202,20
1902186,62
1902182,93
1902188,8
1902164,35
1904298,39
1904530,27
1904565,109
1904568,28
1904571,33
1904580,28
1904584,36
1904588,148
1904589,33
1904597,129
1887303,76
1902142,13
1907063,49
1891874,36
1891788,11
1891937,36
1907044,19
1907035,19
1907015,129
1892533,4
1892226,11
1907050,20
1892359,53
1907046,132
1907025,50
1892707,53
1892705,155
1892701,53
1892520,53
1907000,81
1907040,132
1906976,54
1906978,78
1907038,53
1907028,134
1907016,13
1907031,92
1906980,93
1906991,153
1907029,99
1906977,129
1905631,31
1906993,14
1906960,18
1906961,18
1906982,56
1892317,154
1892323,154
1907012,64
1907010,59
1907002,11
1906995,153
1899316,129
1899362,8
1881562,5
1887697,129
1906045,138
1906107,72
1906108,129
1906113,31
1906152,75
1906156,120
1906188,156
1899487,36
1889840,153
1904232,2
1906784,154
1888818,3
1898540,13
1889013,56
1904011,66
1903975,14
1904481,129
1904485,15
1900663,86
1905608,79
1902805,63
1905615,36
1899486,36
1900073,129
1900018,44
1882218,152
1883705,154
1898050,59
1898051,63
1898075,58
1898134,18
1898833,59
1883794,34
1898830,127
1898878,61
1897764,129
1898049,153
1896788,111
1896238,3
1896200,5
1896174,93
1896175,39
1895605,155
1895611,131
1895608,129
1898459,130
1898820,129
1884335,15
1898857,129
1898227,150
1898827,53
1898907,103
1906510,73
1892248,153
1906949,105
1891996,13
1906958,156
1891780,129
1906957,154
1906973,149
1906940,36
1906942,53
1906939,56
1906969,76
1906966,123
1906950,122
1902133,7
1906956,53
1904231,39
1904331,105
1904371,84
1891912,155
1905979,122
1906063,153
1903730,13
1904648,122
1904993,50
1904326,53
1902113,124
1905653,154
1906495,13
1898823,129
1898052,34
1897475,59
1898048,25
1895764,129
1899258,153
1899274,118
1902418,39
1902119,19
1906947,1
1906948,56
1897142,43
1906943,140
1906933,150
1901113,156
1901534,36
1903893,21
1903689,134
1906891,1
1902032,140
1898807,153
1896795,103
1903661,59
1903679,129
1902993,81
1903634,11
1903656,59
1902988,17
1903672,158
1884382,129
1903327,61
1903178,82
1903008,25
1900334,95
1899765,120
1898027,32
1896171,53
1881976,154
1881988,154
1881995,150
1889896,37
1904607,81
1905561,154
1905971,36
1902029,105
1905480,53
1886137,130
1899213,53
1898161,11
1882163,53
1882167,25
1882168,36
1882169,36
1897991,39
1882166,36
1899433,53
1903556,30
1906882,81
1899345,36
1900722,36
1900723,27
1886118,105
1886127,108
1906709,129
1906711,64
1906721,39
1905935,18
1905965,13
1906061,19
1906066,61
1906073,129
1890567,11
1906046,59
1903564,156
1903566,109
1903562,156
1903473,56
1903462,129
1886085,138
1904453,53
1882721,129
1889557,53
1899161,78
1886140,13
1898613,108
1900552,145
1900561,140
1906652,120
1905525,80
1897363,25
1897427,104
1897438,38
1897433,38
1897964,13
1898016,149
1897308,129
1897441,33
1897950,19
1886112,129
1896044,59
1895926,59
1896129,53
1896010,137
1882159,56
1895890,59
1896140,53
1896041,129
1896048,130
1896157,56
1899431,103
1899404,11
1899432,127
1897640,95
1906079,50
1900855,74
1900856,74
1900853,59
1904387,11
1904393,132
1904392,6
1905983,153
1905984,60
1905992,60
1905994,19
1906015,59
1904859,36
1888787,99
1884153,18
1900484,59
1900482,53
1900508,23
1900488,129
1902967,18
1905481,75
1903328,103
1903360,23
1903211,26
1903221,33
1905470,62
1905479,75
1905476,75
1889407,36
1889403,32
1903312,73
1903318,62
1898812,31
1900234,129
1905459,62
1888236,129
1903372,137
1903332,60
1905465,75
1903311,45
1899910,43
1901573,80
1906692,39
1881757,53
1897356,130
1895948,79
1828357,129
1896071,154
1896646,27
1881297,1
1897910,44
1895651,16
1895670,108
1881735,10
1881379,138
1899070,50
1906612,14
1900093,75
1904224,129
1904225,18
1904292,108
1904267,153
1904254,154
1904226,130
1905894,156
1903213,129
1899812,1
1900520,11
1900435,56
1903806,34
1901715,27
1903245,47
1903256,129
1903252,23
1903304,83
1899874,50
1900317,141
1906488,32
1905703,134
1897860,112
1897857,31
1898471,1
1896641,27
1896587,27
1896632,25
1895795,105
1893702,13
1895615,64
1895616,64
1895932,130
1895943,158
1895936,63
1906876,11
1904229,56
1904238,39
1734980,127
1904239,33
1887966,149
1904354,78
1905870,44
1905876,20
1904745,73
1904731,32
1902386,45
1901478,129
1902377,44
1901492,58
1900343,129
1900247,144
1904021,154
1902811,21
1904439,73
1903769,39
1902877,153
1889962,132
1903158,54
1903113,129
1903174,129
1903180,153
1903083,56
1903067,153
1903078,154
1903081,33
1903368,59
1902350,31
1902349,39
1899104,56
1897064,59
1897059,59
1897069,59
1897073,61
1897062,59
1897074,59
1885382,129
1897763,27
1895886,154
1897823,134
1878452,153
1878455,132
1895713,39
1889274,73
1897645,78
1897266,129
1895665,129
1895683,155
1895558,154
1897762,127
1900252,59
1900278,44
1882342,150
1895791,82
1881091,39
1904144,132
1904106,56
1905143,117
1905813,43
1903051,129
1904198,129
1897714,104
1905751,53
1897432,13
1901297,56
1904147,144
1897648,129
1897638,72
1899660,32
1897673,153
1897710,81
1885674,129
1902997,108
1902902,61
1887191,138
1887232,36
1905730,103
1905753,27
1898730,22
1898771,44
1898774,19
1898723,153
1900240,129
1879634,56
1895634,13
1882277,73
1904060,129
1904068,129
1897552,79
1898028,31
1897584,61
1902426,67
1900050,108
1900134,130
1905683,56
1905049,129
1902783,111
1902837,111
1888266,50
1902808,43
1900063,44
1900068,19
1901283,149
1900071,19
1897534,129
1898863,33
1898303,32
1896210,73
1895581,80
1905589,129
1905597,12
1905592,108
1889773,143
1903133,56
1888535,20
1883840,130
1876586,56
1895452,139
1896170,154
1896168,39
1879558,110
1903717,130
1905548,14
1906857,72
1897462,138
1897463,129
1906853,70
1906851,69
1901904,139
1888971,92
1888972,129
1899567,56
1902030,108
1898663,15
1895014,124
1879218,73
1902636,129
1901490,59
1901825,59
1901841,59
1901816,59
1902625,141
1901776,5
1901794,73
1901808,59
1901833,59
1901850,107
1901802,59
1901813,59
1901872,59
1901866,63
1902610,65
1902632,129
1899925,134
1899929,130
1899935,58
1905205,36
1898777,75
1897292,153
1897297,109
1895235,80
1895334,126
1899893,81
1890235,122
1886824,95
1902565,22
1902643,60
1901789,73
1902564,25
1901768,120
1902562,11
1886799,19
1886811,20
1901563,122
1901581,19
1905350,27
1884210,130
1902016,150
1902015,52
1899901,11
1901746,107
1905370,81
1902611,142
1897259,19
1906845,10
1887420,122
1901542,33
1901538,60
1901599,18
1881994,129
1899829,33
1897239,60
1899828,32
1897152,122
1897241,63
1886814,154
1905332,105
1905366,154
1904811,53
1902424,62
