SkillId,SkillName
704591,Kế Toán
941661,Hạch Toán Chi Phí
3008,Báo Cáo Tài Chính
1228,May Mặc
988487,Thuế
23785,Khai Hải Quan Điện Tử
67,Xuất Nhập Khẩu
224,Tiếng Anh
1024444,Import & Export
704156,VNACCS
92,Tài Chính Ngân Hàng
8361,Relationship Management
110361,Tín Dụng Cá Nhân
50672,Quan Hệ Khách Hàng Cá Nhân
1011758,Bán hàng
785,Nghiên Cứu Thị Trường
627098,Chứng Từ Thương Mại
358,Dịch Vụ Khách Hàng
1115783,Giám sát chứng từ
1685,Tài Chính Kế Toán
14507,IT Security
1820,MS SQL
161238,Computer Network
97630,Windows System Administration
654785,Team Work
366878,Tiết Kiệm Năng Lượng
29314,MS Excel
1011378,Kỹ Sư Xây Dựng
17832,Đọc Hiểu Bản Vẽ
7034,Xây Dựng Cầu Đường
7409,Giao Tiếp
654784,Hoàn Thiện Hồ Sơ
75009,Microsoft Office
78,Quản Lý Dự Án
921356,Thuyết Phục Đàm Phán
999804,Lập Kế Hoạch Tuyển Dụng
899257,Tìm Kiếm Ứng Viên
339393,Phát Triển Nhân Tài
3252,Quản Lý Nhân Sự
24196,Luật Lao Động
566,Tín Dụng Doanh Nghiệp
124,Phát Triển Sản Phẩm
1120004,Phê Duyệt Tín Dụng
785991,Phân Tích Dữ Liệu
190275,Giải Pháp Tích Hợp
75283,B2B
698,Phân Tích Thị Trường
988693,Khách Hàng Doanh Nghiệp
33388,Thẩm Định Tín Dụng
1924,Quan Hệ Khách Hàng
75000,Security
890,Computer Science
1011392,Cybersecurity
185,Embedded
1089662,LINUX
464943,Client Serving
24645,Customer Development
435781,Customs Procedures
1069291,Reporting Skill
987777,Sales
100388,Real Estate Investment Consulting
1673,Market Research
41255,Market Analysis
127091,Investment Analysis
35936,Financial Modeling
601995,Nhập Xuất Kho
28201,Theo Dõi Công Nợ
720988,Kế Toán Kho
22616,Điều Hành Kho Vận
20439,Data Management
3268,Commercial
3064,Procurement
1058697,Purchasing Strategies
1093550,Purchasing Strategies
753683,Supplier Quality Improvement
2139,Kinh Doanh Phần Mềm
1081,B2B Sales
84,Kinh Doanh
422566,Sales Management Software
75506,E-commerce
1467,Môi Trường
580201,Environmental Technology
884,Environment
37313,Environmental Management
989963,Auto CAD
9479,Tiếng Nga
17331,Russian Language
33810,Giao Tiếp Bán Hàng
2384,Tư Vấn Bán Hàng
721458,Kỹ Thuật
5,QA
1318,ISO 9001
988829,Quản lý chất lượng
19896,Quản Lý Môi Trường
80,Cơ Khí
710,CNC
1027826,CAD 2D
339,Điện Tử
1016086,Kỹ thuật
992675,Kế Toán Công Nợ
1030994,Kế toán vật tư
1652,Tài Chính
19593,Transfer Pricing
460055,Due Diligence
989644,Accounting
328321,Cable Installation
2816,Electronics
408310,Technical Engineering
33468,English Communication
711708,PE
721019,Planning
28126,Marketing Planning
298,Digital Marketing
281,Quảng Cáo
3234,SAP
1036396,S&OP Process
980,Production Planning
899439,Power BI
22951,Bảo Dưỡng
75407,Electrical Engineering
2705,Giám Sát Thi Công
235850,Vận Hành Hệ Thống Điện
809,Điện
987697,Phần mềm kế toán
750424,Phân Tích Da
1016536,Trách Nhiệm
246043,Digital Solution
1086387,Kinh Nghiệm B2B Saas
38534,SaaS
671713,Software Technology
476622,Embroidery
1870,Printing
326119,Bulk Production
5812,Quality Management
8677,Production Process
810,Tự Động Hóa
627,Kỹ Thuật Điện
1004187,Bảo trì máy móc
4949,Bảo Trì
2157,Business Management
989908,Engineering Technician
512,Production
610,Construction
121,Logistics
1009399,MES SYSTEM
478011,IT Software
286,C#
98,Java
75026,.NET
160716,Kế Hoạch Chiến Lược
9394,Kế Hoạch Sản Xuất
391585,Mua Hàng Sản Xuất
987913,english skill
12293,FIFO
1018202,Office Skills
1027655,Office Skills
1038626,Office Skills
1048702,Office Skills
1024263,WMS
913466,Quản Trị Thương Mại
540,Communication
8194,Fundraising
911879,Proposal Writing
80710,SugarCRM
1231597,Donor Relations
1576,Tín Dụng Ngân Hàng
334935,Kiểm Soát Chứng Từ
1010762,Ngân hàng
1441,Tin Học Văn Phòng
1026749,Cấu trúc dữ liệu
1889,Phát Triển Phần Mềm
3438,Quản Lý Sản Phẩm
704912,ReactJS
1395,HSE
409460,Giám Sát An Toàn Công Trình
105,Bảo Hộ Lao Động
609,Xây Dựng
968,An Toàn Lao Động
332217,Vận Hành Máy Phay
129989,Gia Công CNC
1435,Vận Hành Máy CNC
2254,Kiểm Soát Chất Lượng
741481,CAD/CAM
1010771,Agile Methodologies
102304,API Testing
2297,Automation Testing
8150,Jira
991216,kiến trúc
988036,Thiết kế
1033006,R&D Experience
116906,Nghiên Cứu Sản Phẩm
156319,Mạch Điện Tử
26603,Sản Xuất Chương Trình
1012692,Điện tử
16030,Coaching
109,Training
6237,Giám Sát Chất Lượng
1162197,Qa
44417,Telemarketing
354,Chăm Sóc Khách Hàng
1013739,kinh doanh ô tô
990294,Service
1025502,Kinh Doanh Dự Án
988998,Tổ Chức Sự Kiện
9044,Supply Chain Management
1006,Foreign Trade
979,Material Planning
990467,Purchasing
75323,Teamwork
806,Python
1231530,Remote Sensing
15900,Data Analysis
1821,Engineering
877,Bán Hàng Kỹ Thuật
47978,Kỹ Thuật Cơ Điện Tử
17750,Tìm Kiếm Khách Hàng
1012117,Phát triển thị trường
460257,Food Research
487165,Process Analysis
459237,Food Product
379463,Chemical Analysis
609962,Báo Cáo Thẩm Định
155634,Kiểm Soát Rủi Ro
1025131,Tài chính Ngân hàng
32926,Thẩm Định Giá Tài Sản
58825,Định Giá Tài Sản
4015,Legal
886905,Compliance
21192,Law
14186,Operational Risk
578,Internal Control
987989,Problem-solving
677,Leadership
721893,Lean Tool
3605,People Management
1026854,Product Knowledge
1035716,Product Knowledge
2905,Mechanical Engineering
100,English
993623,Technical Sales
992881,Consultant
824542,Web Automation Testing
1066653,Ci/Cd Pipelines
603391,Automation Test Script
17584,Đào Tạo Nhân Sự
1248,Tuyển Dụng
3724,Quản Trị Nhân Lực
1013380,Hợp Đồng Lao Động
1191679,C&B (Lương- Thưởng- Phúc Lợi)
1185828,C&B (Chế độ & Lương thưởng)
994964,Total Reward
994900,Xây Dựng Chính Sách
1065089,Kinh Tế Lao Động
161,Audit
1048245,FDI
111960,Legal Administration
1051202,Legal advice
14867,Thiết Kế Mẫu
119264,Pattern Design
204342,Gerber
