WorkingLocationId,JobId,Address,CityId,Latitude,Longitude
198304,1898909,"TDP Nam An, thị trấn Cát Thành, huyện Trực Ninh, Tỉnh Nam Định",40,20.24266,106.277958
50350,1899109,"Binh Duong, Vietnam",11,11.325402,106.477017
198452,1899109,"Đồng Nai, Vietnam",19,11.068631,107.167598
193679,1898350,"Huế, Vietnam",57,16.467397,107.590533
180892,1884204,"19th Floor, The Hallmark Building, 15 Tran Bach Dang st, Thu Thiem Ward, Ho Chi Minh",29,10.77776,106.714042
141630,1900810,"tầng 6, Tòa nhà Hồng Phúc, số 28-33, đường Phạm Ngọc Thạch,  phường Cái Khế , quận Ninh Kiều, Thành",15,10.044309,105.785878
193929,1899083,"P705, Tầng 7 Tòa Nhà Kim Ánh, Số 1 ngõ 78 Phố Duy Tân, P. Dịch Vọng Hậu",24,21.032019,105.783234
8231,1897655,"266-268 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3",29,10.78524,106.688983
179983,1897705,"17F - 21F Office Lobby, Lotte Mall West Lake, 272 Vo Chi Cong",24,21.075951,105.812662
68245,1898888,"Unit 901, 9th Floor, Coalimex Building, 29-31 Dinh Bo Linh Street, Ward 24, Binh Thanh District, HCM",29,10.804524,106.709289
192689,1881891,"Pearl Plaza Building, 561A Dien Bien Phu, Ward 25, Binh Thanh District, Ho Chi Minh City",29,10.79996,106.718563
197435,1896428,"84A Trần Quốc Toản, Phường Võ Thị Sáu Quận 3, TP. HCM",29,10.787409,106.688129
20210,1896484,"Khu Công Nghiệp Đại An, Phường Tứ Minh, thành phố Hải Dương, Hải Dương",27,20.929763,106.266925
184547,1877031,"Thủ Đức, Hồ Chí Minh, Vietnam",29,10.849409,106.753706
91049,1885783,"Yen Phong II-C IP, Dong Tien Commune, Yen Phong District, Bac Ninh",7,21.213002,105.972926
157969,1899334,Sân bay quốc tế Cam Ranh,33,11.998078,109.218998
19867,1899001,"Công ty THHH Hyosung Quảng Nam, KCN Tam Thăng, thành phố Tam Kỳ, tỉnh Quảng Nam",47,15.633299,108.467491
67036,1899042,"KCN Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, Hòa Bình.",30,20.886457,105.543796
36115,1899042,"Hà Nội, Vietnam",24,21.027764,105.83416
